City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Coihaique,CL,-45.5752,-72.0662,60.75,41,99,5.75,overcast clouds
224,Anloga,GH,5.7947,0.8973,81.32,79,10,9.55,clear sky
225,Deogarh,IN,21.5333,84.7333,62.28,78,0,1.03,clear sky
226,Saint George,US,37.1041,-113.5841,51.94,64,90,1.99,overcast clouds
227,Blama,SL,7.8736,-11.3433,72.82,95,35,0.67,scattered clouds
228,Chuy,UY,-33.6971,-53.4616,70.72,83,95,7.74,overcast clouds
229,Souillac,MU,-20.5167,57.5167,79.36,88,40,3.44,scattered clouds
230,Hasaki,JP,35.7333,140.8333,43.29,34,79,18.72,broken clouds
231,Hervey Bay,AU,-25.2986,152.8535,85.01,68,100,4.0,moderate rain
232,Komsomolskiy,UZ,40.4272,71.7189,35.02,86,100,4.61,mist
233,Darnah,LY,32.767,22.6367,55.96,74,0,14.12,clear sky
234,Flinders,AU,-34.5833,150.8552,77.81,87,93,12.5,overcast clouds
235,Muzhi,RU,65.3667,64.6667,-15.0,99,23,6.17,few clouds
236,Port Augusta,AU,-32.5,137.7667,84.7,23,0,19.08,clear sky
237,Sangar,RU,63.9242,127.4739,-55.8,100,69,1.3,broken clouds
238,Coahuayana,MX,18.7333,-103.6833,72.5,90,71,1.32,broken clouds
239,Muromtsevo,RU,56.3724,75.2418,-18.29,98,5,1.72,clear sky
240,Diffa,NE,13.3154,12.6113,65.32,29,79,9.75,broken clouds
241,Greeneville,US,36.1632,-82.831,65.19,80,75,5.75,broken clouds
242,Samarai,PG,-10.6167,150.6667,84.65,73,100,9.44,overcast clouds
243,Palu,ID,-0.8917,119.8707,86.27,67,95,3.2,overcast clouds
244,Ambulu,ID,-8.345,113.6058,83.25,76,97,7.38,overcast clouds
245,Kolyshley,RU,52.7005,44.5367,-2.38,100,79,5.46,broken clouds
246,Saint Andrews,US,34.0454,-81.1293,67.28,72,1,1.99,clear sky
247,Bud,US,39.447,-86.1758,52.12,90,0,5.3,clear sky
248,General Roca,AR,-39.0333,-67.5833,72.0,13,0,7.83,clear sky
249,Moussoro,TD,13.6408,16.4901,66.2,19,16,11.43,few clouds
250,Georgetown,MY,5.4112,100.3354,84.13,76,20,1.01,few clouds
251,Moron,AR,-34.6534,-58.6198,75.02,81,0,1.99,clear sky
252,Clyde River,CA,70.4692,-68.5914,-0.17,78,100,19.57,overcast clouds
253,Mareeba,AU,-17.0,145.4333,86.72,90,100,3.98,overcast clouds
254,Juneau,US,58.3019,-134.4197,8.98,72,20,0.0,few clouds
255,Sioux Lookout,CA,50.1001,-91.917,-3.62,84,90,0.0,overcast clouds
256,Mgachi,RU,51.05,142.2667,-2.54,97,100,13.13,light snow
257,Dunedin,NZ,-45.8742,170.5036,71.24,44,0,7.4,clear sky
258,Belle Fourche,US,44.6714,-103.8522,33.49,62,81,4.9,broken clouds
259,Haines Junction,CA,60.7522,-137.5108,-4.05,77,100,0.0,light snow
260,Mombetsu,JP,44.3525,143.3525,21.22,63,40,17.27,light snow
261,Stephenville,US,32.2207,-98.2023,71.17,60,1,0.0,clear sky
262,Beringovskiy,RU,63.05,179.3167,0.59,93,100,12.66,overcast clouds
263,Berlevag,NO,70.8578,29.0864,28.13,82,100,24.25,light snow
264,Monkey Bay,MW,-14.0728,34.9201,81.28,68,99,12.01,overcast clouds
265,The Valley,AI,18.217,-63.0578,78.66,66,8,16.42,clear sky
266,Vardo,NO,70.3705,31.1107,27.5,77,100,23.17,light snow
267,Otradnoye,RU,59.7775,30.8181,3.25,99,100,4.21,overcast clouds
268,Kemijarvi,FI,66.7131,27.4306,7.02,94,100,6.73,overcast clouds
269,Ourossogui,SN,15.6064,-13.3211,77.05,16,99,7.99,overcast clouds
270,Tevriz,RU,57.509,72.4042,-18.42,99,8,2.86,clear sky
271,Diapaga,BF,12.0708,1.7889,71.08,19,87,6.58,overcast clouds
272,Yulara,AU,-25.2406,130.9889,93.04,14,75,12.66,broken clouds
273,Prince George,CA,53.9166,-122.753,-13.56,64,1,14.97,clear sky
274,Ninghai,CN,29.2892,121.4247,33.48,55,16,12.01,few clouds
275,Ko Samui,TH,9.5357,99.9357,84.11,74,20,11.5,few clouds
276,San Ramon,US,37.7799,-121.978,47.91,92,90,1.01,overcast clouds
277,Tsiroanomandidy,MG,-18.7667,46.0333,70.74,84,99,2.62,overcast clouds
278,Cabedelo,BR,-6.9811,-34.8339,79.47,82,100,7.27,overcast clouds
279,Talnakh,RU,69.4865,88.3972,-1.46,96,97,7.58,overcast clouds
280,Burnie,AU,-41.0667,145.9167,70.92,37,30,8.34,scattered clouds
281,Birjand,IR,32.8663,59.2211,23.47,54,0,6.91,clear sky
